user_id,score_before,score_after,difference
0,6,7,1
1,5,7,2
2,8,9,1
3,7,8,1
4,10,10,0
5,8,10,2
6,1,2,1
7,2,1,-1
8,4,6,2
9,7,7,0
10,2,2,0
11,7,8,1
12,8,10,2
13,5,5,0
14,8,9,1
15,7,8,1
16,5,7,2
17,4,4,0
18,6,8,2
19,6,7,1
20,4,5,1
21,7,6,-1
22,6,6,0
23,7,7,0
24,8,9,1
25,8,8,0
26,7,9,2
27,9,9,0
28,6,8,2
29,8,8,0
30,8,9,1
31,5,5,0
32,5,6,1
33,4,6,2
34,8,7,-1
35,8,8,0
36,5,6,1
37,8,9,1
38,8,7,-1
39,8,9,1
40,6,7,1
41,7,7,0
42,6,6,0
43,7,8,1
44,6,7,1
45,7,8,1
46,5,5,0
47,8,9,1
48,7,7,0
49,6,7,1
50,4,6,2
51,9,9,0
52,7,6,-1
53,6,5,-1
54,2,3,1
55,8,7,-1
56,7,7,0
57,8,10,2
58,5,4,-1
59,9,8,-1
60,8,9,1
61,7,8,1
62,5,4,-1
63,7,8,1
64,9,9,0
65,7,8,1
66,2,3,1
67,6,7,1
68,7,8,1
69,9,8,-1
70,5,5,0
71,6,7,1
72,10,10,0
73,7,7,0
74,5,4,-1
75,8,7,-1
76,4,5,1
77,6,7,1
78,7,7,0
79,6,6,0
80,8,10,2
81,8,7,-1
82,9,10,1
83,7,7,0
84,7,9,2
85,6,6,0
86,7,9,2
87,5,6,1
88,9,10,1
89,5,6,1
90,8,8,0
91,7,8,1
92,7,9,2
93,6,7,1
94,7,6,-1
95,6,7,1
96,7,8,1
97,3,2,-1
98,6,7,1
99,5,6,1
